RecordedDate,DistributionChannel,UserLanguage,Q2,Q18,Q19,Q20,Q21,Q70,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,Q8_1_TEXT,Q8_2_TEXT,Q8_3_TEXT,Q9,Q9_1_TEXT,Q9_2_TEXT,Q9_3_TEXT,Q10,Q11,Q12,Q31,Q31_5_TEXT,Q32,Q15,Q34,Q35_1,Q35_2,Q35_3,Q17,Q24,Q69,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q42,Q42_1_TEXT,Q42_2_TEXT,Q42_3_TEXT,Q43,Q43_1_TEXT,Q43_2_TEXT,Q43_3_TEXT,Q44,Q45,Q46,Q62,Q62_5_TEXT,Q63,Q49,Q65,Q66_1,Q66_2,Q66_3,Q52,Q53,Q71,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q26,Q26_1_TEXT,Q26_2_TEXT,Q26_3_TEXT,Q27,Q27_1_TEXT,Q27_2_TEXT,Q27_3_TEXT,Q28,Q29,Q30,Q13,Q13_3_TEXT,Q22,Q33,Q16,Q23_1,Q23_2,Q23_3,Q36,Q37,Q72,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q56_10,Q57,Q57_1_TEXT,Q57_2_TEXT,Q57_3_TEXT,Q58,Q58_1_TEXT,Q58_2_TEXT,Q58_3_TEXT,Q59,Q60,Q61,Q47,Q47_3_TEXT,Q48,Q64,Q50,Q51_1,Q51_2,Q51_3,Q67,Q68,Q14
2020-08-27 8:51,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,37,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,3,1,2,3,4,1,4,1,"1,2,3",easy to interact,improved technology,easy to understand,"1,2,3",recorded is stopped if any prblm occured,network problem,if any doubt occured need to see the recorded ,Yes,it was easy to interact with the problem,Daily,Detailed review of work,,"Colleague,Someone I supervise",the scenario was good not to change anything,this method is very good and there are no addittional thing,3,4,5,80,we can use the technology for friends conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,4,1,4,3,2,3,5,1,"1,2,3",easy to interact,easy to understand,friendly interact,"1,2,3",it was not like original meeting,network problem means not easy to interact,not easy to memory,Yes,i like the system,Monthly,Practical course,,Students I am close with,the technology was good not need to change,it was good,4,3,5,80,friend and family conversation,none
2020-08-27 4:10,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,66,Female,USA,Walking meetings are a regular part of my routine,I have read the scenario above,5,3,3,3,4,3,4,5,5,4,"1,2,3",YOUNG,WELLBEING,CONFIDENT,"1,2,3",DELETION,MISTAKE,TROUBLE WRAPPING,No,I DID NOT  LIKE TO BE LIKE A SYSTEM. IN BASICALLY LIKE TO BE MANUALLY AND TO BE DONE OF MY EFFICIENT. I WILL MAKE ANYTHING TO DE DONE AND OF MY BEST.,Monthly,"Planning,Detailed review of work",,Colleague,I WOULD BE ADD IN THE SCENARIO IS THE DELETION GESTURE OF THE SYSTEM HAS NOT BE REMOVED. TO MAKE IT BETTER.,I WOULD TO LIKE COME OUT NEW IDEAS AND TOGETHER INTERACTION WITH EACH OTHER COOPERATION  IN THE MEETING.,4,5,4,90,IN THE OTHER SITUATION LIKE IN MY OUTDOOR BUSINESS WORKS I WOULD LIKE TO USE THE TECHNOLOGY.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,3,4,2,4,3,4,4,5,4,"1,2,3",INTERACT,COMPLETED,COORDINATES,"1,2,3",TIRED,EXCUSE,RETRACED,Yes,YES I WOULD USE THE SYSTEM LIKE THIS . BECAUSE THE SYSTEM IS VERY MUCH HELPFUL  TO ALL OTHERS.,Weekly,Theoretical course,,A lecturer,I WOULD LIKE TO CHANGE THAT THE PEDRO WAS NOT TIRED OF COMPLETING THE 4 SEGMENTS. HE HAD EAGER OF NEXT SEGMENT OF THE EXERCISE.,"NOTHING I HAD THINK THAT TO BE ADD IN THE SCENARIO, BECAUSE THE SCENARIO HAS BEEN CORRECT AND UNDERSTANDABLE. ",4,3,4,100,FOR DETAILED REVIEWED OF WORK AND PLANNING WE HAVE USE THE SYSTEM OF TECHNOLOGY TO RECOGNIZE THE REPORTS AND EVENTS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO COMMENTS
2020-08-27 4:29,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,34,Female,USA,I have never participated in a walking meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,3,2,4,1,3,1,3,2,3,2,"1,2,3",relaxing,peaceful,calm,"1,2,3",Could be dangerous,privacy issues,could get hacked,No,I just don't want to use it it. I'm not comfortable.,Rarely if ever,Other,None.,No one,Nothing. I just wouldn't use it.,Nothing. Because I just don't want to participate. I have no other reason other than I don't want to do it.,3,3,3,60,With friends or family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,3,1,3,1,3,1,4,1,"1,2,3",Being outside,Getting exercise,Feeling connected,"1,2,3",Could be tiresome,Could be hard to do,Could be dangerous,No,I'm just not interested.,Rarely if ever,Other,None,No one,Nothing. I'm not interested in it.,Nothing. I wouldn't use it and I can't think of anything that would.,3,3,3,60,Relaxing or with friends.,No other thoughts.
2020-08-27 4:09,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,22,Female,USA,I have never participated in a walking meeting,I have read the scenario above,3,1,5,1,5,1,5,4,5,1,"1,2,3",provides summary of meeting,ability to edit,easy to learn,"1,2,3",distracting environment,alot going on,multitasking,Yes,it seems like a efficient way to present something.,Monthly,Brainstorming/ideation,,Colleagues I am close with,less distracting environment,"notebook, to take notes. duh.",4,4,4,100,group projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,1,5,1,5,1,5,1,4,1,"1,2,3",physical exercise,focus on the lecture,immersive learning,"1,2,3",tiring,unnecessary,inconvenient,No,"Although the health benefits are there, for me it's just too unnecessary and inconvenient.",Weekly,Practical course,,A lecturer,"have it available anywhere, does not require you to go to a specific coordinate.",notecards with notes to help while presenting and make it go more smoothly,5,3,5,90,"brainstorming, decorating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
2020-08-27 7:42,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,39,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,2,1,4,1,3,1,3,1,"1,2,3",They chose a park - place of nature with trees and birds as a meeting point using most sophisticated communication technology.,"It was so realistic, she forgot she is in a virtual meeting.",They both had wifi in the park !,"1,2,3",It seems like she realized that she depends little too much on that technology.,she was loosing contact with reality.,she felt sad being so far away from her colleagues. ,Yes,I love technology. I'll try anything new.,Daily,"Planning,Detailed review of work",,"Colleague,Someone I supervise,Colleagues I am close with",How other people in the park reacting. ,I can't think of anything. I feel like that additional thing would only confuse the scanning options of the device.,5,5,4,40,Contacting my family.,I have read the scenario above,4,1,2,1,4,1,3,1,2,1,"1,2,3","Again, it's cool they do a kinetic energy presentation in a park.",I like the idea he had couple days to finish that meeting/presentation,"It's cool he could pause and save progress, and then come back some other time to finish it.","1,2,3","Since he got tired, I would expect there was a lot of material covered in that presentation.","I wonder why they use ""gestures"" as commands and not voice commands.",They were not bothered by other people in the park ? Seems unrealistic. ,Yes,It seems like a fun system to learn in.,Weekly,"Practical course,Theoretical course",,"Other students,Students I am close with,A lecturer",Voice commands instead of gestures.,Nothing really - I would be too absorbed by the presentation to do anything else.,5,5,5,100,dating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thank You
2020-08-27 3:47,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,65,Female,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,1,5,1,5,3,5,1,5,1,"1,2,3",they are doing exercise.,the place have many trees.,it increase friendlyness.,"1,2,3",the road is not green in colour.,none,none,Yes,it is good.,Daily,"Detailed review of work,Regular progress update",,"Colleague,Someone I supervise",with cloudy scenario,"nothing, because everything that comforts the meeting always given",4,5,4,85,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,2,4,1,3,3,4,2,5,1,"1,2,3",the lecture was hosted by university of canada.,the system could adapt any location in the world,the course releases new lectures each week,1,none,,,Yes,"it has many qualities, it releases each week each lecture.",Weekly,Practical course,,Students I am close with,no idea,none,5,4,4,85,no idea,rainy day with the arrival of rainbow.
2020-08-28 5:30,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,33,Female,USA,I have never participated in a walking meeting,I have read the scenario above,4,2,4,1,5,1,5,4,3,1,"1,2,3",Personalized notes without having to write anything down.,Walking while having the meeting and not sitting in an office.,The ease of the conversation,"1,2,3",Having to wear a microphone,Having to make gestures when you want to emphasize things,Having to make gestures to delete something,Yes,I like the idea of getting notes without having to write things down. That will help me be more focused on the conversation and not the note taking,Weekly,"Brainstorming/ideation,Planning,Detailed review of work,Regular progress update",,"Supervisor,Colleague,Someone I supervise,Colleagues I am close with",I would change the use of gestures.,Notes to remember to say what I intended to say,4,4,4,40,Dictating my thoughts on a big project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,2,4,1,5,1,3,4,3,1,"1,2,3",Being in nature,Taking a course from another country,Using VR for learning,"1,2,3",Talking to something no one else can see,Being distracted watching the professor while trying to walk ,Gesturing in mid air to write notes,Yes,I like the idea of using VR and being able to learn in a park.,Weekly,"Practical course,Theoretical course",,"Other students,Students I am close with,A lecturer",I would want to make sure I can see all my surroundings while also viewing the professor.,nothing,4,4,4,50,I'm not sure,I would love for these things to be real and able to use now.
2020-08-27 4:19,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,32,Male,USA,Walking meetings are a regular part of my routine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,1,5,1,5,1,5,1,5,1,"1,2,3",storage of memeory,that its like reality,having meeting in person,"1,2,3",that storage can crush,deletion of memory is easy,can glitch,Yes,its very efficient,Weekly,"Brainstorming/ideation,Detailed review of work",,"Supervisor,Colleague,Someone I supervise",nothing,because it already has all that one would look for,5,4,5,60,school clsees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,4,1,4,1,4,1,4,1,4,1,"1,2,3",The system,the taking classes outside,How assignments are done,"1,2,3",That it can glitch and lose your class work,That you have to be really there and not miss a class,That is to be outside,Yes,Because its really the best way to learn,Weekly,Practical course,,"Other students,A lecturer",nothing,its really good,5,5,5,60,teacher-parent meetings,Interesting
2020-08-27 4:11,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,35,Male,USA,"I have participated in several walking meetings, but they are not a regular part of my routine",,,,,,,,,,,,,,,,,,,,,,,"Brainstorming/ideation,Planning,Detailed review of work,Regular progress update",,"Supervisor,Colleague,Someone I supervise,Colleagues I am close with",,"I would bring things that I might use in any situation in which I would be outdoors such as appropriate clothing, safety equipment, food, water, etc. I would use these items in case of inclement weather or in an emergency.",5,5,5,,,I have read the scenario above,4,1,4,1,5,1,3,2,4,1,"1,2,3",This allows real-time collaboration,Individuals can collaborate from distant locations,Everything can be recorded easily,"1,2,3",It might be possible to miss something important,It is easy to become dependent on the assistant,The system does not make up for real interaction,Yes,"This system would allow ""face-to-face"" collaboration with others when otherwise not possible.",Weekly,,,,I would make it so that it would be less easy to become dependent on the assistant. ,,,,,50,"I would also use this technology in my personal life, such as for meeting up with friends or even possibly dating. I might also use it for receiving health care services.",I have read the scenario above,4,1,4,1,5,1,3,2,4,1,"1,2,3",It was a better alternative to online lectures,Students can participate any time they like,The lecture was interactive which was crucially helpful,"1,2,3",Attending the lecture was dependent on the weather being nice,"The lectures required moving around, it was not optional",The lectures required special equipment (AR glasses),Yes,This is a novel solution to lectures and which I have never tried before.,Weekly,,,,"I would allow the lectures to be held anywhere such as in a large indoor area so that they would not be dependent on weather being nice or access to a specific location. That is, I would decouple the location from the lecture and make the lecture accessible anywhere (still using the AR glasses).",,,,,100,"I might also use the technology for recreational activities such as a virtual art show. Additionally, it could be used for fun such as gaming.",,,,,,,,,,,,,,,,,,,,,,,"Practical course,Theoretical course",,"Other students,Students I am close with,A lecturer",,I would bring additional note taking supplies so that I would not become too dependent on the assistant for memorizing things and to better separate and organize memories.,5,5,5,,,None
2020-08-28 4:43,anonymous,EN,Click to confirm that you have read the introduction and agree to your data being anonymously collected.,36,Male,USA,Walking meetings are a regular part of my routine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the scenario above,5,5,4,4,4,3,4,5,5,4,"1,2,3",last think is good,time pickup,good laugh,"1,2,3",argument,have not remember,topic turned,Yes,more information save the system,Daily,Brainstorming/ideation,,Colleague,this scenario is better.,nothing. i don't like.,5,5,4,110,nothing,I have read the scenario above,5,4,5,4,5,5,4,3,4,3,"1,2,3",active,kinetic energy,good thinking,"1,2,3",late ,don't absorb information,explain topic is more depth,Yes,more information save the system.,Daily,Theoretical course,,Students I am close with,no. this scenario is good,i do not like.,5,5,5,110,nothing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nice
