,id,startlanguage,D001,D002,D003,D004,D005,M001,M002,M003,T001_SQ001,T001_SQ002,T001_SQ003,T001_SQ004,T001_SQ005,T001_SQ006,T001_SQ007,T001a,T002_SQ001,T002_SQ002,T002_SQ003,T002_SQ004,T002_SQ005,T002_SQ007,T003_SQ001,T003_SQ002,T003_SQ003,T003_SQ004,T003_SQ005,T003a,T004_SQ001,T004_SQ002,T004_SQ003,T004_SQ004,T004_SQ005,T004_SQ006,T004_SQ007,T004a,MM001,WM002_SQ001,WM002_SQ002,WM002_SQ003,WM002_SQ004,WM002_SQ005,WM002_SQ006,WM002_SQ007,WM002_SQ008,WM002a,MM002_SQ001,MM002_SQ002,MM002_SQ003,MM002_SQ004,MM002_SQ005,MM002_SQ006,MM002_SQ007,MM002_SQ008,MM002a,MM003_SQ001,MM003_SQ002,MM003_SQ003,MM003_SQ004,MM003_SQ005,MM003_SQ007,MM003_SQ006,MM003a,MM003b_SQ001,MM003b_SQ002,MM003b_SQ003,MM003b_SQ004,MM003b_SQ005,MM003b_SQ006,MM004_SQ001,MM004_SQ002,MM004_SQ003,MM004_SQ004,MM004_SQ005,MM004a,AC001
1,7,en,36,Female,NA,photographer,USA,Once per week,Less than once per week,30 minutes to 1 hour,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Take notes for things to remind me,Take notes,NA,have in case of emergency,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,Would use since it's easier to write on and take notes while walking,NA,NA,NA,Yes,Yes,Yes,Not selected,Not selected,NA,NA
2,8,en,27,Male,NA,retail,USA,Every day,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,some personal use,NA,NA,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,reports sender,NA,NA,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,good one
3,11,en,27,Male,NA,Doordash,USA,Several times per week,Several times per week,1 to 2 hours,Not selected,Yes,Not selected,Yes,Yes,Not selected,Not selected,NA,NA,Take notes/research,NA,Take Notes/downtime,Down time,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Yes,Yes,Not selected,Not selected,NA,Less than once per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,downtime/reasearch/taking notes,NA,NA,Not selected,Yes,Yes,Yes,Not selected,NA,NA
4,12,en,25,Male,NA,Driver,USA,Several times per week,Less than once per week,30 minutes to 1 hour,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Writing quick notes or comments,Bring up any powerpoints,NA,Texts,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,For any note taking on the go,NA,NA,Not selected,Yes,Yes,Yes,Not selected,NA,NA
5,13,en,37,Female,NA,translator,usa,Once per week,Once per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,taking notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
6,14,en,38,Male,NA,cook,United States,Several times per week,Once per week,Less than 30 minutes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,research and notetaking,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Less than once per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,NA
7,17,en,31,Male,NA,QA,USA,Several times per week,Several times per week,Less than 30 minutes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,take notes,NA,NA,getting info,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Yes,Yes,Not selected,Yes,Yes,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,record and get info,NA,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,NA
8,18,en,41,Male,NA,Delivery Driver,United States,Once per week,Less than once per week,30 minutes to 1 hour,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,To take basic notes and make too lists,To reference materials or look up answers,NA,To monitor my email and text messages,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Monitoring email and text messages and making notes if needed,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
9,20,en,32,Male,NA,retail,USA,Several times per week,Every day,30 minutes to 1 hour,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Not selected,NA,NA
10,21,en,29,Male,NA,Finance manager,United States,Less than once per week,Less than once per week,Less than 30 minutes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Enhancing video calls and online chats,NA,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,NA,Never,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Yes,Yes,Not selected,Not selected,NA,NA,NA,Video calling,Phone calling,To record sounds,NA,Yes,Yes,Yes,Not selected,Not selected,NA,NA
